Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,HRA,Electricity,B1501,13/09/2016,47016300 - 0,500.93,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016308 - 1,850.42,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016315 - 0,781.62,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016322 - 0,562.39,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016325 - 1,492.68,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Electricity,B1501,13/09/2016,47016333 - 1,633.11,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016340 - 0,478.26,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016342 - 0,657.73,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Gas,B1502,13/09/2016,47016347 - 0,505.79,Revenue,20011042,KENT COUNTY COUNCIL
OCC,HRA,Water & Sewerage Charges,B1830,20/09/2016,47016479 - 0,697.91,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,20/09/2016,47016481 - 0,575.1,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Main Contractor,Y021,17/08/2016,48021766 - 1,63915.24,Capital,20014479,GSR CONTRACTORS
OCC,HRA,Miscellaneous Fees,Y173,13/09/2016,48021767 - 1,6870,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,HRA,Main Contractor,Y021,20/09/2016,48021772 - 1,127907.22,Capital,20000236,J B LEADBITTER & CO LTD
OCC,HRA,Direct Services,Y237,27/09/2016,48021775 - 1,580,Capital,20008070,CERTSURE LLP
OCC,HRA,Keys,B1196,26/07/2016,60058377 - 0,2065,Revenue,20005595,EXECUTIVE SECURITY LOCKSMITHS LTD
OCC,HRA,Asbestos Work,B1106,26/07/2016,60058428 - 0,1301,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
