Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,19/07/2016,46290475 - 1,1541.69,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290516 - 0,780,Revenue,36701366,RIPON COLLEGE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290520 - 0,1000,Revenue,36019053,HEADINGTON ACTION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290524 - 0,500,Revenue,36018389,BIKE EVENTS LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290525 - 1,500,Revenue,36022756,FLORENCE PARK FESTIVAL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290526 - 0,1000,Revenue,36800225,SpaceandPeople PLC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290530 - 0,2500,Revenue,36013015,WOC LTD T/A ZIPPOS CIRCUS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,29/07/2016,46290631 - 1,1140,Revenue,36022876,SJM CONCERTS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/08/2016,46290696 - 1,906.48,Revenue,20000011,RENT REFUNDS
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,17/08/2016,46290763 - 1,4396.12,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/09/2016,46291003 - 1,1000,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/09/2016,46291042 - 1,1000,Revenue,36023051,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/09/2016,46291045 - 0,1000,Revenue,36800361,HeyHuman Ltd
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,20/09/2016,46291098 - 1,2752.21,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/09/2016,46291128 - 0,1074,Revenue,36701062,THE ORDERS OF ST JOHN CARE TRUST
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/09/2016,46291130 - 0,1200,Revenue,36023531,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291132 - 1,2018.26,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291133 - 1,2224.85,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291134 - 1,500,Revenue,20000000,GENERAL EXPENSES
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,27/09/2016,1028190 - 0,3500,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,12/07/2016,1028984 - 0,875,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Contract Printing (External),D3303,19/07/2016,1029365 - 0,4485,Revenue,20019080,MORTONS MEDIA GROUP LTD
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,12/07/2016,1029377 - 0,875,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,12/07/2016,1029422 - 0,862.5,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,12/07/2016,1029527 - 0,493,Revenue,20011733,OXFORD SAID BUSINESS SCHOOL LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,19/07/2016,1029572 - 0,862.5,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,19/07/2016,1029758 - 0,600,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,26/07/2016,1029837 - 0,690,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,12/07/2016,1029874 - 0,862.5,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Grants,D3701,12/07/2016,1029923 - 1,1800.75,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,02/08/2016,1030028 - 0,431.25,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,Postage & Carriage,D3501,19/07/2016,1030069 - 0,3653.59,Revenue,20018480,THE NATIONAL LEAFLET COMPANY
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,09/08/2016,1030166 - 0,603.75,Revenue,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,02/08/2016,1030451 - 0,470,Revenue,20003025,
OCC,Assistant Chief Executive,Corporate Design,D3444,02/08/2016,1030473 - 0,1950,Revenue,20003025,
OCC,Assistant Chief Executive,General Contracted Services,D3401,02/08/2016,1030475 - 0,550,Revenue,20003025,
OCC,Assistant Chief Executive,Grants,D3701,31/08/2016,1030995 - 0,1300,Revenue,20013670,RESOURCE FUTURES LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,31/08/2016,1031085 - 0,1400,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
OCC,Assistant Chief Executive,Grants,D3701,31/08/2016,1031158 - 0,4200,Revenue,20018879,THE BARBERI MULTI ACADEMY COMPANY
OCC,Assistant Chief Executive,Consultants Fees,D3411,06/09/2016,1031253 - 0,25000,Revenue,20002401,SOUTH OXFORDSHIRE DISTRICT COUNCIL
OCC,Assistant Chief Executive,Grants,D3701,06/09/2016,1031313 - 0,3200,Revenue,20008586,THE CHERWELL SCHOOL ACADEMY TRUST
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,13/09/2016,1031503 - 0,600,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Consultants Fees,D3411,13/09/2016,1031553 - 0,2750,Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI
OCC,Assistant Chief Executive,Consultants Fees,D3411,27/09/2016,1031757 - 0,2840,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,Main Contractor,Y021,12/07/2016,46290418 - 14,690,Capital,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Main Contractor,Y021,23/08/2016,46290871 - 18,2760,Capital,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,23/08/2016,46290871 - 23,3410,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,31/08/2016,46290907 - 1,493,Revenue,20011651,UNIVERSITY OF OXFORD
OCC,Assistant Chief Executive,Other Contributions,Y995,06/09/2016,46290980 - 1,3000,Capital,20018740,STL COMMUNIATIONS LTD
OCC,Assistant Chief Executive,Temporary Bureau Staffing,A0108,27/09/2016,46291142 - 20,1069.5,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021706 - 1,522,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021707 - 1,2039.36,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021709 - 1,3000,Capital,20014760,BT PAYMENT SERVICES
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021721 - 1,1213,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021724 - 1,783,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021729 - 1,621.29,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021730 - 1,2276.76,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021731 - 1,2048.13,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021732 - 1,580.22,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,05/07/2016,48021733 - 1,1338.04,Capital,20018483,VIRGIN MEDIA LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,12/07/2016,48021760 - 1,1388.5,Capital,20019313,EASYNET ENTERPRISES
OCC,Assistant Chief Executive,Other Contributions,Y995,09/08/2016,48021762 - 1,3000,Capital,20019053,WARWICKNET LTD
OCC,Assistant Chief Executive,Other Contributions,Y995,09/08/2016,48021763 - 1,3000,Capital,20018740,STL COMMUNIATIONS LTD
OCC,Transformation,Services Maintenance (Planned),B1103,12/07/2016,1029557 - 1,1573.8,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Hardware Purchase,D3520,12/07/2016,1029843 - 0,12625.77,Revenue,20019156,QUADSYS LIMITED
OCC,Transformation,Furniture & Equipment Purchase,D3001,31/08/2016,1030829 - 1,1489.23,Revenue,20016526,FLEXIFORM BUSINESS FURNITURE LTD
OCC,Transformation,Advertising & Publicity,D3802,17/08/2016,1030840 - 0,2618,Revenue,20018628,ONCE CREATIVE BOX LIMITED
OCC,Transformation,Consultants Fees,D3411,31/08/2016,1030928 - 0,2971.5,Revenue,20019003,PICK EVERARD
OCC,Transformation,General Contracted Services,D3401,13/09/2016,1031328 - 1,2170,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
OCC,Transformation,General Contracted Services,D3401,13/09/2016,1031329 - 0,1110,Revenue,20008015,M TECH COMUNICATIONS BRISTOL LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,12/07/2016,46290418 - 8,2836.67,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,23/08/2016,46290871 - 11,1805.64,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Temporary Bureau Staffing,A0108,27/09/2016,46291142 - 10,1576.8,Revenue,20000200,CHAMPION EMPLOYMENT LTD
OCC,Transformation,Reactive Maintenance & Minor Repairs,B1101,27/09/2016,60061223 - 1,850,Revenue,20002254,GRAFTON MERCHANTING GB LTD
OCC,Business Improvement,External Telephone Charges,D3503,09/08/2016,1026583 - 1,11262.62,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,General Stationery Supplies,D3301,12/07/2016,1028456 - 1,1421.73,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,General Stationery Supplies,D3301,12/07/2016,1028568 - 1,542.69,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,01/07/2016,1029143 - 0,3125,Revenue,20018517,TMI SYSTEMS LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,05/07/2016,1029163 - 0,800,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,05/07/2016,1029166 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,05/07/2016,1029168 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,External Telephone Charges,D3503,05/07/2016,1029306 - 1,1000,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
OCC,Business Improvement,External Telephone Charges,D3503,05/07/2016,1029307 - 1,543.92,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/07/2016,1029334 - 0,1109.41,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Provisions,D3101,05/07/2016,1029359 - 0,839.15,Revenue,20009224,LAMB CATERING LTD
OCC,Business Improvement,Provisions,D3101,05/07/2016,1029360 - 0,3399.6,Revenue,20009224,LAMB CATERING LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,08/07/2016,1029362 - 0,6410,Revenue,20015657,DUE NORTH LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/07/2016,1029389 - 0,1800,Revenue,20011511,DATASTOX LIMITED
OCC,Business Improvement,General Stationery Supplies,D3301,12/07/2016,1029396 - 0,697.5,Revenue,20015097,HOUND ENVELOPES LTD
OCC,Business Improvement,Contract Printing (External),D3303,01/07/2016,1029415 - 0,3534,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Main Contractor,Y021,05/07/2016,1029446 - 1,6225,Capital,20018919,CORE TECHNOLOGY SYSTEMS
OCC,Business Improvement,Consultants Fees,D3411,12/07/2016,1029546 - 0,2100,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Consultants Fees,D3411,05/07/2016,1029549 - 0,2150,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/07/2016,1029555 - 0,14715.22,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Main Contractor,Y021,19/07/2016,1029561 - 0,5907.5,Capital,20018911,SOFTCAT LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,05/07/2016,1029562 - 0,900,Revenue,20007875,MIDLAND HR
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,19/07/2016,1029596 - 0,38205,Revenue,20017849,NETCALL TELECOM LTD
OCC,Business Improvement,Hardware Purchase,D3520,12/07/2016,1029603 - 0,1547.4,Revenue,20002302,MISCO
OCC,Business Improvement,Hardware Purchase,D3520,05/07/2016,1029608 - 0,2156.76,Revenue,20002302,MISCO
OCC,Business Improvement,Postage & Carriage,D3501,05/07/2016,1029608 - 1,9.99,Revenue,20002302,MISCO
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,19/07/2016,1029617 - 0,5435,Revenue,20013113,CADLINE LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,19/07/2016,1029640 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,19/07/2016,1029641 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,19/07/2016,1029642 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,05/07/2016,1029643 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,05/07/2016,1029644 - 0,1800,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,26/07/2016,1029654 - 0,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,26/07/2016,1029664 - 0,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,26/07/2016,1029665 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Consultants Fees,D3411,05/07/2016,1029709 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,09/08/2016,1029722 - 1,6509.6,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,External Telephone Charges,D3503,19/07/2016,1029725 - 1,1774.39,Revenue,20016411,"""JOHNNIE"" JOHNSON HOUSING TRUST"
OCC,Business Improvement,Consultants Fees,D3411,26/07/2016,1029785 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Hardware Purchase,D3520,19/07/2016,1029817 - 0,1900.7,Revenue,20002302,MISCO
OCC,Business Improvement,Postage & Carriage,D3501,19/07/2016,1029817 - 1,9.99,Revenue,20002302,MISCO
OCC,Business Improvement,Hardware Purchase,D3520,12/07/2016,1029840 - 0,588.63,Revenue,20019156,QUADSYS LIMITED
OCC,Business Improvement,Hardware Purchase,D3520,12/07/2016,1029841 - 0,796.44,Revenue,20019156,QUADSYS LIMITED
OCC,Business Improvement,General Contracted Services,D3401,12/07/2016,1029866 - 1,244482.06,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Temporary Bureau Staffing,A0108,12/07/2016,1029883 - 0,1575,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Temporary Bureau Staffing,A0108,19/07/2016,1029885 - 0,7000,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Temporary Bureau Staffing,A0108,26/07/2016,1029886 - 0,525,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,26/07/2016,1029887 - 0,45601.63,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Hardware Purchase,D3520,12/07/2016,1029892 - 0,1596,Revenue,20019156,QUADSYS LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,12/07/2016,1029919 - 0,4500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,General Contracted Services,D3401,19/07/2016,1029987 - 1,40747.01,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,External Telephone Charges,D3503,09/08/2016,1029988 - 1,2501.37,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,External Telephone Charges,D3503,09/08/2016,1029989 - 1,13445.11,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030013 - 0,800,Revenue,20018839,JADU LTD
OCC,Business Improvement,Hardware Purchase,D3520,09/08/2016,1030031 - 1,497,Revenue,20002302,MISCO
OCC,Business Improvement,Postage & Carriage,D3501,09/08/2016,1030031 - 2,19.99,Revenue,20002302,MISCO
OCC,Business Improvement,Consultants Fees,D3411,26/07/2016,1030044 - 0,950,Revenue,20013463,IDOX SOFTWARE LTD
OCC,Business Improvement,General Stationery Supplies,D3301,26/07/2016,1030086 - 0,1417.49,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Away Days,A0635,09/08/2016,1030127 - 0,978,Revenue,20016197,THE KING'S CENTRE LTD
OCC,Business Improvement,Contract Printing (External),D3303,26/07/2016,1030140 - 0,661.9,Revenue,20015632,MULTIFLOW PRINT LIMITED
OCC,Business Improvement,General Stationery Supplies,D3301,09/08/2016,1030167 - 0,420,Revenue,20015097,HOUND ENVELOPES LTD
OCC,Business Improvement,General Stationery Supplies,D3301,09/08/2016,1030168 - 0,1182,Revenue,20015097,HOUND ENVELOPES LTD
OCC,Business Improvement,Hardware Purchase,D3520,09/08/2016,1030169 - 1,715,Revenue,20002302,MISCO
OCC,Business Improvement,General Contracted Services,D3401,26/07/2016,1030228 - 0,967.5,Revenue,20011523,HERALD CHASE
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030234 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030235 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030236 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Consultants Fees,D3411,17/08/2016,1030252 - 0,9625,Revenue,20018171,SIRIUS CORPORATION LTD
OCC,Business Improvement,Travel Scheme Discount,C2505,02/08/2016,1030281 - 1,1749.3,Revenue,20006596,OXFORD BUS COMPANY LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,09/08/2016,1030285 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Online Services,D3510,09/08/2016,1030286 - 0,2000,Revenue,20018839,JADU LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,09/08/2016,1030300 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,09/08/2016,1030301 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Consultants Fees,D3411,02/08/2016,1030337 - 0,18600,Revenue,20019116,TECH SKILLS CONSULTING LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,09/08/2016,1030356 - 1,3578.76,Revenue,20008028,VODAFONE LIMITED (CORPORATE)
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030389 - 0,7431,Revenue,20016801,BYTES SOFTWARE SERVICES LTD
OCC,Business Improvement,Contract Printing (External),D3303,05/08/2016,1030403 - 0,3485,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,General Contracted Services,D3401,09/08/2016,1030439 - 1,10731.11,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030455 - 0,2000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030458 - 0,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030460 - 0,5000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,02/08/2016,1030476 - 0,4770,Revenue,20017397,IKEN BUSINESS LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030492 - 0,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,General Contracted Services,D3401,09/08/2016,1030522 - 1,1245,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Hardware Purchase,D3520,09/08/2016,1030602 - 0,1800,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030608 - 1,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030609 - 0,2500,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,23/08/2016,1030615 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,23/08/2016,1030616 - 0,29801.68,Revenue,20013158,WHITESPACE WASTE SOFTWARE LTD
OCC,Business Improvement,Consultants Fees,D3411,23/08/2016,1030628 - 0,5012.5,Revenue,20017632,DURADIAMOND HEALTHCARE LTD
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030634 - 0,1925,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030635 - 0,6475,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,General Contracted Services,D3401,23/08/2016,1030636 - 0,45601.63,Revenue,20013052,SCC (SPECIALIST COMPUTER CENTRES PLC)
OCC,Business Improvement,Hardware Purchase,D3520,23/08/2016,1030637 - 0,1335.55,Revenue,20002302,MISCO
OCC,Business Improvement,Postage & Carriage,D3501,23/08/2016,1030637 - 1,9.99,Revenue,20002302,MISCO
OCC,Business Improvement,Hardware Purchase,D3520,09/08/2016,1030642 - 0,1800,Revenue,20006940,BT GLOBAL SERVIES
OCC,Business Improvement,Temporary Bureau Staffing,A0108,23/08/2016,1030659 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Business Improvement,Travel Scheme Discount,C2505,09/08/2016,1030677 - 0,3300,Revenue,20017916,ICOM WORKS LTD
OCC,Business Improvement,External Telephone Charges,D3503,17/08/2016,1030706 - 1,38915.83,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,09/08/2016,1030707 - 1,53848.12,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,External Telephone Charges,D3503,17/08/2016,1030708 - 1,30814.35,Revenue,20014760,BT PAYMENT SERVICES
OCC,Business Improvement,Hardware Purchase,D3520,31/08/2016,1030736 - 0,1675,Revenue,20002302,MISCO
OCC,Business Improvement,Hardware Rental,D3521,17/08/2016,1030765 - 0,919.85,Revenue,20008022,NEOPOST FINANCE LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,17/08/2016,1030777 - 0,9395.38,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,17/08/2016,1030778 - 0,1250,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,General Stationery Supplies,D3301,31/08/2016,1030787 - 0,2041.27,Revenue,20007849,LYRECO UK LTD
OCC,Business Improvement,Hardware Purchase,D3520,31/08/2016,1030800 - 0,490,Revenue,20002302,MISCO
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/08/2016,1030812 - 0,822.8,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
OCC,Business Improvement,Contract Printing (External),D3303,31/08/2016,1030815 - 0,5958,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Business Improvement,Consultants Fees,D3411,17/08/2016,1030825 - 0,6000,Revenue,20019116,TECH SKILLS CONSULTING LTD
OCC,Business Improvement,Software Purchase,D3511,17/08/2016,1030870 - 0,1408.75,Revenue,20019156,QUADSYS LIMITED
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,17/08/2016,1030870 - 1,1350,Revenue,20019156,QUADSYS LIMITED
OCC,Business Improvement,Hardware Purchase,D3520,31/08/2016,1030876 - 0,490,Revenue,20002302,MISCO
OCC,Business Improvement,External Telephone Charges,D3503,23/08/2016,1030906 - 1,1351.66,Revenue,20016588,VODAFONE LTD
OCC,Business Improvement,Travel Scheme Discount,C2505,23/08/2016,1030956 - 1,1468.3,Revenue,20006596,OXFORD BUS COMPANY LTD
OCC,Business Improvement,Short Courses,A0622,31/08/2016,1030963 - 1,2300,Revenue,20019028,EQUALITY WORKS LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/08/2016,1030979 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/08/2016,1030980 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,31/08/2016,1030981 - 0,480,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,Business Improvement,Main Contractor,Y021,31/08/2016,1030996 - 0,550,Capital,20018919,CORE TECHNOLOGY SYSTEMS
OCC,Business Improvement,Advertising & Publicity,D3802,23/08/2016,1031023 - 1,129.95,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Business Improvement,Advertising & Publicity,D3802,23/08/2016,1031023 - 3,129.95,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Business Improvement,Advertising & Publicity,D3802,23/08/2016,1031025 - 1,202.43,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Business Improvement,Advertising & Publicity,D3802,23/08/2016,1031025 - 3,202.43,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Business Improvement,Software Maintenance/Running Costs,D3513,13/09/2016,1031032 - 0,492.83,Revenue,20012320,NORTHGATE PUBLIC SERVICES (UK) LTD
